Version	2
Header
Technique	0
Sections	2
1	1250
1251	0

Data	2050
Potential/V	Current/uA
-1.0055	2.0142
-1.0022	2.2559
-0.9990	1.6919
-0.9958	2.3364
-0.9926	2.3364
-0.9894	2.1753
-0.9861	2.4170
-0.9829	2.0142
-0.9797	2.1753
-0.9765	2.1753
-0.9732	2.0947
-0.9700	2.1753
-0.9668	1.9336
-0.9636	2.0142
-0.9604	2.2559
-0.9571	2.3364
-0.9539	2.1753
-0.9507	2.5781
-0.9475	2.2559
-0.9442	2.0142
-0.9410	2.1753
-0.9378	2.2559
-0.9346	2.0947
-0.9313	2.0947
-0.9281	2.0947
-0.9249	2.0142
-0.9217	2.0947
-0.9185	2.2559
-0.9152	2.3364
-0.9120	1.9336
-0.9088	2.1753
-0.9056	1.8530
-0.9023	2.1753
-0.8991	2.1753
-0.8959	2.1753
-0.8927	1.9336
-0.8895	2.0947
-0.8862	2.1753
-0.8830	2.2559
-0.8798	2.0142
-0.8766	2.2559
-0.8733	1.8530
-0.8701	2.1753
-0.8669	2.2559
-0.8637	2.0947
-0.8604	1.9336
-0.8572	2.1753
-0.8540	2.2559
-0.8508	2.3364
-0.8476	2.1753
-0.8443	2.3364
-0.8411	1.9336
-0.8379	2.1753
-0.8347	2.4170
-0.8314	2.0947
-0.8282	2.0947
-0.8250	2.0947
-0.8218	2.2559
-0.8186	2.4170
-0.8153	2.4170
-0.8121	2.2559
-0.8089	1.8530
-0.8057	2.0947
-0.8024	2.0142
-0.7992	2.0947
-0.7960	2.2559
-0.7928	2.0947
-0.7896	2.0142
-0.7863	2.0947
-0.7831	2.0947
-0.7799	2.0947
-0.7767	2.2559
-0.7734	2.1753
-0.7702	2.4976
-0.7670	2.3364
-0.7638	2.3364
-0.7605	2.2559
-0.7573	2.0947
-0.7541	2.2559
-0.7509	2.4170
-0.7477	2.2559
-0.7444	2.0142
-0.7412	2.4170
-0.7380	2.1753
-0.7348	2.3364
-0.7315	2.4170
-0.7283	2.2559
-0.7251	2.1753
-0.7219	2.2559
-0.7187	2.0947
-0.7154	2.0947
-0.7122	2.2559
-0.7090	2.3364
-0.7058	1.7725
-0.7025	2.1753
-0.6993	2.0142
-0.6961	2.0947
-0.6929	2.3364
-0.6896	2.3364
-0.6864	2.0947
-0.6832	2.1753
-0.6800	2.0947
-0.6768	2.3364
-0.6735	2.0947
-0.6703	2.0142
-0.6671	2.1753
-0.6639	2.1753
-0.6606	2.1753
-0.6574	2.1753
-0.6542	2.4170
-0.6510	2.3364
-0.6478	2.2559
-0.6445	2.0142
-0.6413	2.1753
-0.6381	2.0142
-0.6349	2.1753
-0.6316	2.2559
-0.6284	2.0947
-0.6252	2.0142
-0.6220	2.4170
-0.6187	1.8530
-0.6155	2.3364
-0.6123	2.2559
-0.6091	2.4170
-0.6059	2.3364
